,,,,,,,,,,,,,,,,,,,,,,
,,37.12%,,,,,6,,1.6058,100%,1.6424,90%,1.6798,83%,1.7181,79%,1.7572,75%,1.7973,72%,1.8383,70%
,,Reward,Potential,,,5,,1.5135,100%,1.5479,89%,1.5832,82%,1.6193,77%,1.6562,73%,1.6940,71%,1.7326,68%,
,,6.10%,Actual,,4,,1.4265,100%,1.4590,88%,1.4922,80%,1.5262,75%,1.5610,71%,1.5966,69%,1.6330,67%,1.6702,65%
,,,,3,,1.3445,100%,1.3751,86%,1.4065,78%,1.4385,73%,1.4713,69%,1.5048,67%,1.5391,65%,1.5742,63%,
,,,2,,1.2672,100%,1.2961,83%,1.3256,75%,1.3558,70%,1.3867,67%,1.4183,64%,1.4507,63%,1.4837,61%,1.5176,60%
,,1,,1.1943,100%,1.2216,80%,1.2494,71%,1.2779,67%,1.3070,64%,1.3368,62%,1.3673,60%,1.3985,59%,1.4303,58%,
,,,1.1257,100%,1.1514,75%,1.1776,67%,1.2044,63%,1.2319,60%,1.2600,58%,1.2887,57%,1.3181,56%,1.3481,56%,1.3788,55%
,,1.0610,100%,1.0852,67%,1.1099,60%,1.1352,57%,1.1611,56%,1.1875,55%,1.2146,54%,1.2423,53%,1.2706,53%,1.2996,53%,
,1.0000,,1.0228,50%,1.0461,50%,1.0700,50%,1.0943,50%,1.1193,50%,1.1448,50%,1.1709,50%,1.1976,50%,1.2249,50%,1.2528,50%
,,0.9640,0%,0.9860,33%,1.0085,40%,1.0314,43%,1.0550,44%,1.0790,45%,1.1036,46%,1.1287,47%,1.1545,47%,1.1808,47%,
,,,0.9293,0%,0.9505,25%,0.9722,33%,0.9943,38%,1.0170,40%,1.0402,42%,1.0639,43%,1.0881,44%,1.1129,44%,1.1383,45%
,,1,,0.8959,0%,0.9163,20%,0.9372,29%,0.9585,33%,0.9804,36%,1.0027,38%,1.0256,40%,1.0489,41%,1.0729,42%,
,,,2,,0.8636,0%,0.8833,17%,0.9034,25%,0.9240,30%,0.9451,33%,0.9666,36%,0.9887,38%,1.0112,39%,1.0342,40%
,,,,3,,0.8325,0%,0.8515,14%,0.8709,22%,0.8908,27%,0.9111,31%,0.9318,33%,0.9531,35%,0.9748,37%,
,,Risk,,,4,,0.8025,0%,0.8208,13%,0.8396,20%,0.8587,25%,0.8783,29%,0.8983,31%,0.9188,33%,0.9397,35%
,,3.600%,,,,5,,0.7737,0%,0.7913,11%,0.8093,18%,0.8278,23%,0.8466,27%,0.8659,29%,0.8857,32%,
,,,,,,,6,,0.7458,0%,0.7628,10%,0.7802,17%,0.7980,21%,0.8162,25%,0.8348,28%,0.8538,30%
,,,,,,,,7,,0.7190,0%,0.7354,9%,0.7521,15%,0.7693,20%,0.7868,24%,0.8047,26%,
,,,,,,,,,8,,0.6931,0%,0.7089,8%,0.7250,14%,0.7416,19%,0.7585,22%,0.7758,25%
,,,,,,,,,,9,,0.6681,0%,0.6834,8%,0.6989,13%,0.7149,18%,0.7312,21%,
,,,,,,,,,,,10,,0.6441,0%,0.6588,7%,0.6738,13%,0.6891,17%,0.7048,20%
,,,,,,,,,,,,11,,0.6209,0%,0.6351,7%,0.6495,12%,0.6643,16%,
,,,,,,,,,,,,,12,,0.5985,0%,0.6122,6%,0.6261,11%,0.6404,15%
,,,,,,,,,,,,,,13,,0.5770,0%,0.5902,6%,0.6036,11%,
,,,,,,,,,,,,,,,14,,0.5562,0%,0.5689,6%,0.5819,10%
,,,,,,,,,,,,,,,,15,,0.5362,0%,0.5484,5%,
,,,,,,,,,,,,,,,,,16,,0.5169,0%,0.5287,5%
,,,,,,,,,,,,,,,,,,17,,0.4983,0%,
,,,,,,,,,,,,,,,,,,,18,,0.4804,0%
,,,,,,,,,,,,,,,,,,,,19,,
,,,,,,,,,,,,,,,,,,,,,20,
